"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"V"|0.0|5.0|25,"Analog2"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|200,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10
188,0,,,,-0.05,-0.03,0.97,0,-0,-0,0.06,0,,,,,,,
193,0,,,,-0.02,-0.03,1.01,0,-0,-0,0.03,0,,,,,,,
198,0,,,,-0.0,-0.02,0.97,0,0,-0,0.02,0,,,,,,,
203,0,2.88,3.224,,0.0,-0.01,0.93,0,-0,-0,0.01,0,,,,,,,
208,0,,,,-0.0,-0.03,0.98,0,0,-0,0.03,0,,,,,,,
213,0,,,,-0.03,-0.04,1.01,0,1,-0,0.05,0,,,,,,,
218,0,,,,-0.05,-0.04,0.96,0,1,-0,0.06,0,,,,,,,
223,0,,,,-0.06,-0.04,0.98,0,-0,-0,0.07,0,,,,,,,
228,0,,,,-0.03,-0.04,1.03,0,-0,-0,0.05,0,,,,,,,
233,0,,,,-0.02,-0.04,1.01,0,0,-0,0.04,0,,,,,,,
238,0,,,,-0.01,-0.02,0.97,0,-0,-0,0.02,0,,,,,,,
243,0,2.87,2.991,,-0.01,-0.04,1.0,0,0,-0,0.04,0,0.0,0.0,0.0,0.0,0,0,0.0
248,0,,,,-0.04,-0.04,1.02,0,1,-0,0.06,0,,,,,,,
253,0,,,,-0.06,-0.03,0.97,0,1,-0,0.07,0,,,,,,,
258,0,,,,-0.05,-0.03,0.99,0,-0,-0,0.06,0,,,,,,,
263,0,,,,-0.04,-0.03,1.04,0,0,-0,0.05,0,,,,,,,
268,0,,,,-0.04,-0.01,0.98,0,0,-0,0.04,0,,,,,,,
273,0,,,,-0.04,-0.0,0.98,0,0,-0,0.04,0,,,,,,,
278,0,,,,-0.03,-0.0,1.03,0,1,-0,0.03,0,,,,,,,
283,0,2.86,2.937,,-0.05,-0.02,1.02,0,1,-0,0.06,0,,,,,,,
288,0,,,,-0.05,-0.02,0.96,0,0,-0,0.06,0,,,,,,,
293,0,,,,-0.05,-0.02,0.99,0,0,-0,0.05,0,,,,,,,
298,0,,,,-0.02,-0.03,1.04,0,0,-0,0.03,0,,,,,,,
303,0,,,,-0.0,-0.02,1.0,0,1,-0,0.02,0,,,,,,,
308,0,,,,-0.01,-0.0,0.97,0,0,-0,0.01,0,,,,,,,
313,0,,,,-0.02,-0.02,1.02,0,1,-0,0.03,0,,,,,,,
318,0,,,,-0.05,-0.02,1.01,0,1,-0,0.06,0,,,,,,,
323,0,2.89,2.824,,-0.06,-0.01,0.97,0,0,-0,0.06,0,,,,,,,
328,0,,,,-0.03,-0.02,1.01,0,-0,-0,0.03,0,,,,,,,
333,0,,,,-0.01,-0.02,1.03,0,0,-0,0.02,0,,,,,,,
338,0,,,,-0.01,-0.0,0.97,0,0,-0,0.01,0,,,,,,,
343,0,,,,-0.02,-0.01,0.99,0,-0,-0,0.02,0,0.0,0.0,0.0,0.0,0,0,0.0
348,0,,,,-0.01,0.0,1.03,0,1,-0,0.01,0,,,,,,,
353,0,,,,-0.04,-0.01,1.0,0,1,-1,0.04,0,,,,,,,
358,0,,,,-0.05,-0.0,0.97,0,-0,-0,0.05,0,,,,,,,
363,0,2.83,2.832,,-0.03,-0.01,1.03,0,-0,-0,0.04,0,,,,,,,
368,0,,,,-0.01,-0.0,1.03,0,0,-1,0.01,0,,,,,,,
373,0,,,,0.01,-0.0,0.97,0,0,-0,0.01,0,,,,,,,
378,0,,,,0.0,-0.0,0.98,0,0,-0,0.0,0,,,,,,,
383,0,,,,-0.02,-0.02,1.02,0,1,-0,0.03,0,,,,,,,
388,0,,,,-0.05,-0.01,0.98,0,1,-0,0.05,0,,,,,,,
393,0,,,,-0.04,-0.01,0.96,0,0,-0,0.04,0,,,,,,,
398,0,,,,-0.01,-0.01,1.01,0,0,-0,0.02,0,,,,,,,
403,0,2.88,3.284,,0.0,-0.01,0.98,0,1,-0,0.01,0,,,,,,,
408,0,,,,-0.0,-0.01,0.95,0,0,-0,0.01,0,,,,,,,
413,0,,,,-0.02,-0.02,1.0,0,1,-0,0.03,0,,,,,,,
418,0,,,,-0.04,-0.03,1.01,0,1,-0,0.04,0,,,,,,,
423,0,,,,-0.04,-0.02,0.95,0,1,-0,0.05,0,,,,,,,
428,0,,,,-0.05,-0.03,0.98,0,0,-0,0.06,0,,,,,,,
433,0,,,,-0.01,-0.03,1.02,0,0,-0,0.03,0,,,,,,,
438,0,,,,-0.0,-0.03,0.99,0,1,-0,0.03,0,,,,,,,
443,0,2.85,2.954,,0.01,-0.02,0.95,0,0,-0,0.02,0,0.0,0.0,0.0,0.0,0,0,0.0
448,0,,,,-0.01,-0.03,1.0,0,0,-0,0.04,0,,,,,,,
