"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"V"|0.0|5.0|25,"Analog2"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|200,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10
343,0,,,,-0.02,0.0,1.0,0,1,-0,0.02,0,0.0,0.0,0.0,0.0,0,0,0.0
368,0,,,,-0.06,-0.01,1.0,0,0,-0,0.06,0,,,,,,,
373,0,,,,-0.03,-0.01,1.02,0,1,-0,0.03,0,,,,,,,
378,0,,,,-0.02,-0.0,0.97,0,1,-0,0.02,0,,,,,,,
383,0,,,,-0.02,-0.0,0.96,1,0,-0,0.02,0,,,,,,,
388,0,,,,-0.02,-0.01,1.01,0,1,-0,0.02,0,,,,,,,
393,0,,,,-0.04,-0.03,0.98,1,1,-0,0.05,0,,,,,,,
398,0,,,,-0.04,-0.02,0.95,0,0,-0,0.04,0,,,,,,,
403,0,2.62,3.258,,-0.04,-0.02,0.99,0,0,-0,0.04,0,,,,,,,
408,0,,,,-0.0,-0.01,1.0,1,0,-0,0.01,0,,,,,,,
413,0,,,,0.0,-0.01,0.98,1,0,-0,0.01,0,,,,,,,
418,0,,,,0.0,-0.01,0.97,1,0,-0,0.01,0,,,,,,,
423,0,,,,-0.01,-0.02,1.0,1,1,-0,0.02,0,,,,,,,
428,0,,,,-0.04,-0.03,0.98,1,1,-0,0.05,0,,,,,,,
433,0,,,,-0.05,-0.02,0.95,1,0,-0,0.05,0,,,,,,,
438,0,,,,-0.02,-0.02,0.99,1,0,-0,0.02,0,,,,,,,
443,0,2.58,3.369,,-0.0,-0.01,0.99,1,1,-0,0.01,0,0.0,0.0,0.0,0.0,0,0,0.0
448,0,,,,0.01,0.01,0.93,1,0,-0,0.01,0,,,,,,,
453,0,,,,-0.01,0.0,0.98,1,0,-0,0.01,0,,,,,,,
458,0,,,,-0.01,-0.0,1.01,1,1,-0,0.01,0,,,,,,,
463,0,,,,-0.03,-0.01,0.97,1,1,-0,0.03,0,,,,,,,
468,0,,,,-0.04,-0.01,0.97,1,0,-0,0.04,0,,,,,,,
473,0,,,,-0.03,-0.01,1.02,0,0,-0,0.03,0,,,,,,,
478,0,,,,-0.01,0.0,1.0,0,0,-0,0.01,0,,,,,,,
483,0,2.62,3.342,,0.0,0.01,0.97,0,0,-0,0.01,0,,,,,,,
488,0,,,,-0.0,0.01,0.99,1,0,-0,0.01,0,,,,,,,
493,0,,,,-0.02,-0.01,1.02,0,1,-0,0.02,0,,,,,,,
498,0,,,,-0.05,-0.01,0.99,0,1,-0,0.05,0,,,,,,,
503,0,,,,-0.05,-0.01,0.99,0,0,-0,0.05,0,,,,,,,
508,0,,,,-0.02,-0.0,1.02,1,0,-0,0.02,0,,,,,,,
513,0,,,,-0.01,-0.01,0.98,1,1,-0,0.01,0,,,,,,,
518,0,,,,-0.0,0.01,0.95,1,0,-0,0.01,0,,,,,,,
523,0,2.62,3.323,,-0.02,-0.01,1.0,1,0,-0,0.02,0,,,,,,,
528,0,,,,-0.03,-0.02,1.01,1,1,-0,0.03,0,,,,,,,
533,0,,,,-0.05,-0.02,0.97,1,0,-0,0.05,0,,,,,,,
538,0,,,,-0.06,-0.03,0.99,1,0,-0,0.06,0,,,,,,,
543,0,,,,-0.03,-0.03,1.02,1,0,-0,0.05,0,0.0,0.0,0.0,0.0,0,0,0.0
548,0,,,,-0.01,-0.03,1.0,1,1,-0,0.03,0,,,,,,,
553,0,,,,0.0,-0.01,0.97,1,1,-0,0.01,0,,,,,,,
558,0,,,,-0.01,-0.02,0.99,1,1,-0,0.02,0,,,,,,,
563,0,2.62,3.13,,-0.04,-0.04,1.01,1,1,-0,0.05,0,,,,,,,
568,0,,,,-0.06,-0.04,0.97,1,1,-0,0.07,0,,,,,,,
573,0,,,,-0.05,-0.04,0.98,1,-0,-0,0.06,0,,,,,,,
578,0,,,,-0.02,-0.02,1.0,1,0,-0,0.03,0,,,,,,,
583,0,,,,-0.0,-0.02,0.96,1,0,-0,0.02,0,,,,,,,
588,0,,,,-0.01,-0.02,0.95,1,0,-0,0.02,0,,,,,,,
593,0,,,,-0.02,-0.04,1.0,1,0,-0,0.04,0,,,,,,,
598,0,,,,-0.04,-0.05,0.98,1,0,-0,0.06,0,,,,,,,
603,0,2.62,3.252,,-0.05,-0.04,0.95,1,-0,-0,0.06,0,,,,,,,
608,0,,,,-0.05,-0.03,1.0,1,-0,0,0.06,0,,,,,,,
613,0,,,,-0.01,-0.02,0.99,1,0,0,0.02,0,,,,,,,
618,0,,,,-0.01,-0.03,0.98,1,0,-0,0.03,0,,,,,,,
623,0,,,,-0.01,-0.02,0.98,1,0,-0,0.02,0,,,,,,,
628,0,,,,-0.03,-0.03,1.01,1,0,-0,0.04,0,,,,,,,
633,0,,,,-0.06,-0.04,0.99,1,1,-0,0.07,0,,,,,,,
638,0,,,,-0.06,-0.03,0.97,1,0,-0,0.06,0,,,,,,,
643,0,2.59,3.218,,-0.03,-0.02,1.0,1,-0,-0,0.04,0,0.0,0.0,0.0,0.0,0,0,0.0
648,0,,,,-0.02,-0.02,0.99,1,0,-0,0.02,0,,,,,,,
653,0,,,,-0.01,-0.0,0.95,1,0,-0,0.01,0,,,,,,,
658,0,,,,-0.03,-0.02,0.99,1,0,-0,0.03,0,,,,,,,
663,0,,,,-0.04,-0.02,1.0,1,0,-0,0.04,0,,,,,,,
668,0,,,,-0.05,-0.02,0.97,1,0,-0,0.06,0,,,,,,,
673,0,,,,-0.05,-0.02,0.98,1,-0,-0,0.06,0,,,,,,,
