"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"V"|0.0|5.0|25,"Analog2"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|200,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10
183,0,,,,-0.0,-0.02,0.93,0,-0,-0,0.02,0,,,,,,,
188,0,,,,-0.01,-0.02,0.9,1,-0,-0,0.02,0,,,,,,,
193,0,,,,-0.01,-0.02,0.9,1,-0,-0,0.02,0,,,,,,,
198,0,,,,-0.0,-0.04,0.95,1,-0,-0,0.04,0,,,,,,,
203,0,2.28,2.784,,0.0,-0.04,0.91,1,1,-0,0.04,0,,,,,,,
208,0,,,,-0.0,-0.03,0.87,1,0,-0,0.03,0,,,,,,,
213,0,,,,-0.01,-0.04,0.89,1,-0,-0,0.04,0,,,,,,,
218,0,,,,0.01,-0.04,0.92,1,0,-0,0.04,0,,,,,,,
223,0,,,,0.01,-0.03,0.92,1,0,-0,0.03,0,,,,,,,
228,0,,,,0.02,-0.03,0.9,1,-0,-0,0.03,0,,,,,,,
233,0,,,,0.02,-0.04,0.94,1,0,-0,0.05,0,,,,,,,
238,0,,,,0.01,-0.05,0.93,1,1,-0,0.05,0,,,,,,,
243,0,2.28,2.554,,-0.0,-0.04,0.89,1,0,-0,0.04,0,0.0,0.0,0.0,0.0,0,0,0.0
248,0,,,,0.0,-0.04,0.9,1,-0,-0,0.04,0,,,,,,,
253,0,,,,0.03,-0.05,0.93,1,0,-0,0.06,0,,,,,,,
258,0,,,,0.03,-0.03,0.91,1,0,-0,0.04,0,,,,,,,
263,0,,,,0.03,-0.04,0.88,1,-0,-0,0.05,0,,,,,,,
268,0,,,,0.02,-0.05,0.93,1,0,-0,0.05,0,,,,,,,
273,0,,,,0.01,-0.05,0.95,1,0,-0,0.05,0,,,,,,,
278,0,,,,-0.03,-0.05,0.96,1,-0,-0,0.06,0,,,,,,,
283,0,2.27,2.465,,-0.05,-0.05,0.97,1,-1,-0,0.07,0,,,,,,,
288,0,,,,-0.05,-0.04,1.01,0,-0,-0,0.06,0,,,,,,,
293,0,,,,-0.03,-0.03,1.02,1,-0,-0,0.04,0,,,,,,,
298,0,,,,-0.02,-0.03,1.0,1,-0,-0,0.04,0,,,,,,,
303,0,,,,-0.01,-0.03,0.99,1,-0,-0,0.03,0,,,,,,,
308,0,,,,-0.03,-0.05,1.03,1,0,-0,0.05,0,,,,,,,
313,0,,,,-0.04,-0.05,0.99,1,1,-0,0.06,0,,,,,,,
318,0,,,,-0.05,-0.05,0.96,1,0,-0,0.07,0,,,,,,,
323,0,2.29,3.337,,-0.04,-0.05,0.99,1,-0,-0,0.06,0,,,,,,,
328,0,,,,-0.03,-0.04,1.01,1,0,-0,0.05,0,,,,,,,
333,0,,,,-0.02,-0.04,0.97,1,0,-0,0.04,0,,,,,,,
338,0,,,,-0.02,-0.04,0.97,1,0,0,0.04,0,,,,,,,
343,0,,,,-0.02,-0.06,1.01,1,1,0,0.06,0,0.0,0.0,0.0,0.0,0,0,0.0
348,0,,,,-0.04,-0.07,1.0,1,1,-0,0.08,0,,,,,,,
353,0,,,,-0.05,-0.07,0.97,1,-0,-0,0.08,0,,,,,,,
358,0,,,,-0.04,-0.06,0.99,1,-0,-0,0.08,0,,,,,,,
363,0,2.39,3.281,,-0.03,-0.05,1.04,1,-0,-0,0.06,0,,,,,,,
